x,y,T
0,0,372.936
0.0002,0.0022341,372.879
0.0004001,0.004455,372.821
0.0006001,0.0066629,372.764
0.0008002,0.0088579,372.707
0.0010002,0.0110401,372.651
0.0012002,0.0132096,372.594
0.0014003,0.0153665,372.538
0.0016003,0.017511,372.482
0.0018004,0.019643,372.426
0.0020004,0.0217628,372.371
0.0022004,0.0238704,372.316
0.0024005,0.0259641,372.261
0.0026005,0.0280475,372.206
0.0028006,0.030119,372.152
0.0030006,0.0321788,372.097
0.0032006,0.0342269,372.043
0.0034007,0.0362634,371.989
0.0036007,0.0382884,371.936
0.0038008,0.040302,371.882
0.0040008,0.0423043,371.829
0.0042008,0.0442954,371.776
0.0044009,0.0462754,371.723
0.0046009,0.0482444,371.671
0.004801,0.0502024,371.619
0.005001,0.0521495,371.566
0.005201,0.0540859,371.515
0.0054011,0.0560116,371.463
0.0056011,0.0579267,371.411
0.0058012,0.0598313,371.36
0.0060012,0.0617254,371.309
0.0062012,0.0636092,371.258
0.0064013,0.0654828,371.208
0.0066013,0.0673461,371.157
0.0068014,0.0691993,371.107
0.0070014,0.0710425,371.057
0.0072014,0.0728758,371.007
0.0074015,0.0746992,370.958
0.0076015,0.0765128,370.908
0.0078016,0.0783166,370.859
0.0080016,0.0801108,370.81
0.0082016,0.0818955,370.761
0.0084017,0.0836706,370.712
0.0086017,0.0854364,370.664
0.0088018,0.0871927,370.616
0.0090018,0.0889398,370.568
0.0092018,0.0906777,370.52
0.0094019,0.0924064,370.472
0.0096019,0.0941261,370.425
0.009802,0.0958367,370.377
0.010002,0.0975384,370.33
0.010202,0.0992313,370.283
0.0104021,0.100915,370.236
0.0106021,0.102591,370.19
0.0108022,0.104257,370.144
0.0110022,0.105915,370.097
0.0112022,0.107565,370.051
0.0114023,0.109206,370.005
0.0116023,0.110838,369.96
0.0118024,0.112462,369.914
0.0120024,0.114078,369.869
0.0122024,0.115686,369.824
0.0124025,0.117286,369.779
0.0126025,0.118877,369.734
0.0128026,0.12046,369.689
0.0130026,0.122036,369.645
0.0132026,0.123603,369.601
0.0134027,0.125163,369.556
0.0136027,0.126714,369.512
0.0138028,0.128258,369.469
0.0140028,0.129795,369.425
0.0142028,0.131323,369.382
0.0144029,0.132844,369.338
0.0146029,0.134358,369.295
0.014803,0.135864,369.252
0.015003,0.137362,369.209
0.015203,0.138853,369.167
0.0154031,0.140337,369.124
0.0156031,0.141814,369.082
0.0158032,0.143283,369.04
0.0160032,0.144745,368.998
0.0162032,0.1462,368.956
0.0164033,0.147648,368.914
0.0166033,0.149088,368.873
0.0168034,0.150522,368.831
0.0170034,0.151949,368.79
0.0172034,0.153369,368.749
0.0174035,0.154782,368.708
0.0176035,0.156189,368.667
0.0178036,0.157588,368.627
0.0180036,0.158982,368.586
0.0182036,0.160368,368.546
0.0184037,0.161748,368.505
0.0186037,0.163121,368.465
0.0188038,0.164487,368.426
0.0190038,0.165847,368.386
0.0192038,0.167201,368.346
0.0194039,0.168548,368.307
0.0196039,0.169889,368.267
0.019804,0.171224,368.228
0.020004,0.172553,368.189
0.020204,0.173875,368.15
0.0204041,0.175191,368.112
0.0206041,0.176501,368.073
0.0208042,0.177805,368.034
0.0210042,0.179102,367.996
0.0212042,0.180394,367.958
0.0214043,0.18168,367.92
0.0216043,0.18296,367.882
0.0218044,0.184234,367.844
0.0220044,0.185502,367.806
0.0222044,0.186764,367.769
0.0224045,0.188021,367.732
0.0226045,0.189271,367.694
0.0228046,0.190517,367.657
0.0230046,0.191756,367.62
0.0232046,0.19299,367.583
0.0234047,0.194218,367.547
0.0236047,0.195441,367.51
0.0238048,0.196658,367.474
0.0240048,0.197869,367.437
0.0242048,0.199076,367.401
0.0244049,0.200276,367.365
0.0246049,0.201472,367.329
0.024805,0.202662,367.293
0.025005,0.203847,367.257
0.025205,0.205026,367.222
0.0254051,0.206201,367.186
0.0256051,0.20737,367.151
0.0258052,0.208533,367.116
0.0260052,0.209692,367.081
0.0262052,0.210846,367.046
0.0264053,0.211994,367.011
0.0266053,0.213138,366.976
0.0268054,0.214276,366.942
0.0270054,0.21541,366.907
0.0272054,0.216538,366.873
0.0274055,0.217662,366.838
0.0276055,0.218781,366.804
0.0278056,0.219895,366.77
0.0280056,0.221004,366.736
0.0282056,0.222108,366.703
0.0284057,0.223207,366.669
0.0286057,0.224302,366.635
0.0288058,0.225392,366.602
0.0290058,0.226477,366.569
0.0292058,0.227558,366.535
0.0294059,0.228634,366.502
0.0296059,0.229706,366.469
0.029806,0.230772,366.436
0.030006,0.231835,366.404
0.030206,0.232893,366.371
0.0304061,0.233946,366.338
0.0306061,0.234995,366.306
0.0308062,0.236039,366.274
0.0310062,0.23708,366.241
0.0312062,0.238115,366.209
0.0314063,0.239147,366.177
0.0316063,0.240174,366.145
0.0318064,0.241196,366.114
0.0320064,0.242215,366.082
0.0322064,0.243229,366.05
0.0324065,0.244239,366.019
0.0326065,0.245244,365.988
0.0328066,0.246246,365.956
0.0330066,0.247243,365.925
0.0332066,0.248237,365.894
0.0334067,0.249226,365.863
0.0336067,0.250211,365.832
0.0338068,0.251192,365.801
0.0340068,0.252169,365.771
0.0342068,0.253142,365.74
0.0344069,0.254111,365.71
0.0346069,0.255076,365.679
0.034807,0.256037,365.649
0.035007,0.256995,365.619
0.035207,0.257948,365.589
0.0354071,0.258897,365.559
0.0356071,0.259843,365.529
0.0358072,0.260785,365.499
0.0360072,0.261723,365.47
0.0362072,0.262657,365.44
0.0364073,0.263588,365.411
0.0366073,0.264514,365.381
0.0368074,0.265437,365.352
0.0370074,0.266357,365.323
0.0372074,0.267272,365.294
0.0374075,0.268184,365.265
0.0376075,0.269093,365.236
0.0378076,0.269997,365.207
0.0380076,0.270898,365.178
0.0382076,0.271796,365.15
0.0384077,0.27269,365.121
0.0386077,0.273581,365.093
0.0388078,0.274468,365.065
0.0390078,0.275351,365.036
0.0392078,0.276231,365.008
0.0394079,0.277108,364.98
0.0396079,0.277981,364.952
0.039808,0.27885,364.924
0.040008,0.279717,364.896
0.040208,0.28058,364.869
0.0404081,0.281439,364.841
0.0406081,0.282296,364.813
0.0408082,0.283149,364.786
0.0410082,0.283998,364.759
0.0412082,0.284845,364.731
0.0414083,0.285688,364.704
0.0416083,0.286528,364.677
0.0418084,0.287364,364.65
0.0420084,0.288197,364.623
0.0422084,0.289028,364.596
0.0424085,0.289855,364.569
0.0426085,0.290679,364.543
0.0428086,0.291499,364.516
0.0430086,0.292317,364.49
0.0432086,0.293131,364.463
0.0434087,0.293943,364.437
0.0436087,0.294751,364.411
0.0438088,0.295556,364.384
0.0440088,0.296358,364.358
0.0442088,0.297158,364.332
0.0444089,0.297954,364.306
0.0446089,0.298747,364.28
0.044809,0.299537,364.255
0.045009,0.300324,364.229
0.045209,0.301109,364.203
0.0454091,0.30189,364.178
0.0456091,0.302669,364.152
0.0458092,0.303444,364.127
0.0460092,0.304217,364.102
0.0462092,0.304987,364.076
0.0464093,0.305753,364.051
0.0466093,0.306518,364.026
0.0468094,0.307279,364.001
0.0470094,0.308037,363.976
0.0472094,0.308793,363.951
0.0474095,0.309546,363.927
0.0476095,0.310296,363.902
0.0478096,0.311043,363.877
0.0480096,0.311788,363.853
0.0482096,0.31253,363.828
0.0484097,0.313269,363.804
0.0486097,0.314005,363.78
0.0488098,0.314739,363.755
0.0490098,0.31547,363.731
0.0492098,0.316199,363.707
0.0494099,0.316925,363.683
0.0496099,0.317648,363.659
0.04981,0.318368,363.635
0.05001,0.319086,363.611
0.05021,0.319802,363.588
0.0504101,0.320515,363.564
0.0506101,0.321225,363.54
0.0508102,0.321932,363.517
0.0510102,0.322638,363.493
0.0512102,0.32334,363.47
0.0514103,0.32404,363.447
0.0516103,0.324738,363.424
0.0518104,0.325433,363.4
0.0520104,0.326126,363.377
0.0522104,0.326816,363.354
0.0524105,0.327504,363.331
0.0526105,0.328189,363.308
0.0528106,0.328872,363.286
0.0530106,0.329553,363.263
0.0532106,0.330231,363.24
0.0534107,0.330907,363.217
0.0536107,0.33158,363.195
0.0538108,0.332251,363.172
0.0540108,0.33292,363.15
0.0542108,0.333586,363.128
0.0544109,0.33425,363.105
0.0546109,0.334911,363.083
0.054811,0.335571,363.061
0.055011,0.336228,363.039
